2026-03-25 02:38:04 | INFO     | pipeline | Experiment 4 — Subjective / Aesthetics Profile Bias
2026-03-25 02:38:04 | INFO     | pipeline | Run output directory: runs/dry_run_20260325_023804
2026-03-25 02:38:04 | INFO     | pipeline | DRY RUN mode: n_runs=1
2026-03-25 02:38:04 | INFO     | pipeline | ============================================================
2026-03-25 02:38:04 | INFO     | pipeline | STEP 1/6: Running experiment (50 API calls)
2026-03-25 02:38:04 | INFO     | pipeline | ============================================================
2026-03-25 02:38:04 | INFO     | pipeline | Profile A (high_sophistication_nontechnical): 499 chars
2026-03-25 02:38:04 | INFO     | pipeline | Profile B (control): no system prompt (control)
2026-03-25 02:38:04 | INFO     | pipeline | Profile C (low_sophistication_nontechnical): 321 chars
2026-03-25 02:38:04 | INFO     | pipeline | Profile D (high_sophistication_domain_relevant): 476 chars
2026-03-25 02:38:04 | INFO     | pipeline | Profile E (low_sophistication_domain_relevant): 407 chars
2026-03-25 02:38:04 | INFO     | pipeline | Model sonnet: 25 calls (randomized, seed=42)
2026-03-25 02:38:04 | INFO     | pipeline | [1/25] sonnet D(high_sophistication_domain_relevant) task2 run1
2026-03-25 02:39:11 | INFO     | pipeline |   -> sys=476 chars, prompt=83 chars, out=1137 est tokens, 67402.3ms
2026-03-25 02:39:11 | INFO     | pipeline | [2/25] sonnet C(low_sophistication_nontechnical) task3 run1
2026-03-25 02:39:26 | INFO     | pipeline |   -> sys=321 chars, prompt=101 chars, out=348 est tokens, 14658.3ms
2026-03-25 02:39:26 | INFO     | pipeline | [3/25] sonnet B(control) task5 run1
2026-03-25 02:39:48 | INFO     | pipeline |   -> sys=0 chars, prompt=93 chars, out=576 est tokens, 22675.8ms
2026-03-25 02:39:48 | INFO     | pipeline | [4/25] sonnet D(high_sophistication_domain_relevant) task5 run1
2026-03-25 02:40:56 | INFO     | pipeline |   -> sys=476 chars, prompt=93 chars, out=1038 est tokens, 67446.2ms
2026-03-25 02:40:56 | INFO     | pipeline | [5/25] sonnet D(high_sophistication_domain_relevant) task4 run1
2026-03-25 02:42:04 | INFO     | pipeline |   -> sys=476 chars, prompt=101 chars, out=954 est tokens, 67940.8ms
2026-03-25 02:42:04 | INFO     | pipeline | [6/25] sonnet B(control) task2 run1
2026-03-25 02:42:29 | INFO     | pipeline |   -> sys=0 chars, prompt=83 chars, out=686 est tokens, 24955.3ms
2026-03-25 02:42:29 | INFO     | pipeline | [7/25] sonnet B(control) task1 run1
2026-03-25 02:42:49 | INFO     | pipeline |   -> sys=0 chars, prompt=71 chars, out=355 est tokens, 20097.1ms
2026-03-25 02:42:49 | INFO     | pipeline | [8/25] sonnet C(low_sophistication_nontechnical) task1 run1
2026-03-25 02:43:06 | INFO     | pipeline |   -> sys=321 chars, prompt=71 chars, out=338 est tokens, 16699.2ms
2026-03-25 02:43:06 | INFO     | pipeline | [9/25] sonnet D(high_sophistication_domain_relevant) task1 run1
2026-03-25 02:43:47 | INFO     | pipeline |   -> sys=476 chars, prompt=71 chars, out=593 est tokens, 41794.3ms
2026-03-25 02:43:47 | INFO     | pipeline | [10/25] sonnet E(low_sophistication_domain_relevant) task2 run1
2026-03-25 02:44:22 | INFO     | pipeline |   -> sys=407 chars, prompt=83 chars, out=570 est tokens, 34266.1ms
2026-03-25 02:44:22 | INFO     | pipeline | [11/25] sonnet C(low_sophistication_nontechnical) task2 run1
2026-03-25 02:44:44 | INFO     | pipeline |   -> sys=321 chars, prompt=83 chars, out=502 est tokens, 22137.4ms
2026-03-25 02:44:44 | INFO     | pipeline | [12/25] sonnet D(high_sophistication_domain_relevant) task3 run1
2026-03-25 02:45:35 | INFO     | pipeline |   -> sys=476 chars, prompt=101 chars, out=897 est tokens, 51376.9ms
2026-03-25 02:45:35 | INFO     | pipeline | [13/25] sonnet A(high_sophistication_nontechnical) task2 run1
2026-03-25 02:46:44 | INFO     | pipeline |   -> sys=499 chars, prompt=83 chars, out=1221 est tokens, 68406.9ms
2026-03-25 02:46:44 | INFO     | pipeline | [14/25] sonnet C(low_sophistication_nontechnical) task5 run1
2026-03-25 02:47:02 | INFO     | pipeline |   -> sys=321 chars, prompt=93 chars, out=416 est tokens, 18227.6ms
2026-03-25 02:47:02 | INFO     | pipeline | [15/25] sonnet E(low_sophistication_domain_relevant) task3 run1
2026-03-25 02:47:27 | INFO     | pipeline |   -> sys=407 chars, prompt=101 chars, out=393 est tokens, 24857.6ms
2026-03-25 02:47:27 | INFO     | pipeline | [16/25] sonnet C(low_sophistication_nontechnical) task4 run1
2026-03-25 02:47:42 | INFO     | pipeline |   -> sys=321 chars, prompt=101 chars, out=311 est tokens, 15532.6ms
2026-03-25 02:47:42 | INFO     | pipeline | [17/25] sonnet A(high_sophistication_nontechnical) task3 run1
2026-03-25 02:48:26 | INFO     | pipeline |   -> sys=499 chars, prompt=101 chars, out=670 est tokens, 44239.8ms
2026-03-25 02:48:26 | INFO     | pipeline | [18/25] sonnet E(low_sophistication_domain_relevant) task4 run1
2026-03-25 02:48:53 | INFO     | pipeline |   -> sys=407 chars, prompt=101 chars, out=534 est tokens, 26773.8ms
2026-03-25 02:48:53 | INFO     | pipeline | [19/25] sonnet A(high_sophistication_nontechnical) task5 run1
2026-03-25 02:49:56 | INFO     | pipeline |   -> sys=499 chars, prompt=93 chars, out=1182 est tokens, 62893.8ms
2026-03-25 02:49:56 | INFO     | pipeline | [20/25] sonnet E(low_sophistication_domain_relevant) task5 run1
2026-03-25 02:50:19 | INFO     | pipeline |   -> sys=407 chars, prompt=93 chars, out=463 est tokens, 23223.2ms
2026-03-25 02:50:19 | INFO     | pipeline | [21/25] sonnet B(control) task3 run1
2026-03-25 02:50:36 | INFO     | pipeline |   -> sys=0 chars, prompt=101 chars, out=399 est tokens, 16516.2ms
2026-03-25 02:50:36 | INFO     | pipeline | [22/25] sonnet B(control) task4 run1
2026-03-25 02:50:53 | INFO     | pipeline |   -> sys=0 chars, prompt=101 chars, out=405 est tokens, 17008.6ms
2026-03-25 02:50:53 | INFO     | pipeline | [23/25] sonnet A(high_sophistication_nontechnical) task1 run1
2026-03-25 02:51:33 | INFO     | pipeline |   -> sys=499 chars, prompt=71 chars, out=579 est tokens, 40159.3ms
2026-03-25 02:51:33 | INFO     | pipeline | [24/25] sonnet A(high_sophistication_nontechnical) task4 run1
2026-03-25 02:52:44 | INFO     | pipeline |   -> sys=499 chars, prompt=101 chars, out=1224 est tokens, 70813.2ms
2026-03-25 02:52:44 | INFO     | pipeline | [25/25] sonnet E(low_sophistication_domain_relevant) task1 run1
2026-03-25 02:53:03 | INFO     | pipeline |   -> sys=407 chars, prompt=71 chars, out=413 est tokens, 19018.3ms
2026-03-25 02:53:03 | INFO     | pipeline | Model sonnet done: 25 calls, 0 skipped
2026-03-25 02:53:03 | INFO     | pipeline | Model haiku: 25 calls (randomized, seed=42)
2026-03-25 02:53:03 | INFO     | pipeline | [1/25] haiku D(high_sophistication_domain_relevant) task2 run1
2026-03-25 02:53:40 | INFO     | pipeline |   -> sys=476 chars, prompt=83 chars, out=862 est tokens, 36992.8ms
2026-03-25 02:53:40 | INFO     | pipeline | [2/25] haiku C(low_sophistication_nontechnical) task3 run1
2026-03-25 02:53:55 | INFO     | pipeline |   -> sys=321 chars, prompt=101 chars, out=387 est tokens, 14690.4ms
2026-03-25 02:53:55 | INFO     | pipeline | [3/25] haiku B(control) task5 run1
2026-03-25 02:54:20 | INFO     | pipeline |   -> sys=0 chars, prompt=93 chars, out=697 est tokens, 25399.0ms
2026-03-25 02:54:20 | INFO     | pipeline | [4/25] haiku D(high_sophistication_domain_relevant) task5 run1
2026-03-25 02:54:44 | INFO     | pipeline |   -> sys=476 chars, prompt=93 chars, out=836 est tokens, 23782.4ms
2026-03-25 02:54:44 | INFO     | pipeline | [5/25] haiku D(high_sophistication_domain_relevant) task4 run1
2026-03-25 02:55:04 | INFO     | pipeline |   -> sys=476 chars, prompt=101 chars, out=703 est tokens, 20156.4ms
2026-03-25 02:55:04 | INFO     | pipeline | [6/25] haiku B(control) task2 run1
2026-03-25 02:55:20 | INFO     | pipeline |   -> sys=0 chars, prompt=83 chars, out=452 est tokens, 15881.5ms
2026-03-25 02:55:20 | INFO     | pipeline | [7/25] haiku B(control) task1 run1
2026-03-25 02:55:32 | INFO     | pipeline |   -> sys=0 chars, prompt=71 chars, out=509 est tokens, 11874.4ms
2026-03-25 02:55:32 | INFO     | pipeline | [8/25] haiku C(low_sophistication_nontechnical) task1 run1
2026-03-25 02:55:45 | INFO     | pipeline |   -> sys=321 chars, prompt=71 chars, out=431 est tokens, 13348.5ms
2026-03-25 02:55:45 | INFO     | pipeline | [9/25] haiku D(high_sophistication_domain_relevant) task1 run1
2026-03-25 02:56:05 | INFO     | pipeline |   -> sys=476 chars, prompt=71 chars, out=503 est tokens, 19851.7ms
2026-03-25 02:56:05 | INFO     | pipeline | [10/25] haiku E(low_sophistication_domain_relevant) task2 run1
2026-03-25 02:56:22 | INFO     | pipeline |   -> sys=407 chars, prompt=83 chars, out=683 est tokens, 17368.1ms
2026-03-25 02:56:22 | INFO     | pipeline | [11/25] haiku C(low_sophistication_nontechnical) task2 run1
2026-03-25 02:56:36 | INFO     | pipeline |   -> sys=321 chars, prompt=83 chars, out=475 est tokens, 14072.9ms
2026-03-25 02:56:36 | INFO     | pipeline | [12/25] haiku D(high_sophistication_domain_relevant) task3 run1
2026-03-25 02:56:55 | INFO     | pipeline |   -> sys=476 chars, prompt=101 chars, out=535 est tokens, 18517.6ms
2026-03-25 02:56:55 | INFO     | pipeline | [13/25] haiku A(high_sophistication_nontechnical) task2 run1
2026-03-25 02:57:14 | INFO     | pipeline |   -> sys=499 chars, prompt=83 chars, out=723 est tokens, 19427.2ms
2026-03-25 02:57:14 | INFO     | pipeline | [14/25] haiku C(low_sophistication_nontechnical) task5 run1
2026-03-25 02:57:27 | INFO     | pipeline |   -> sys=321 chars, prompt=93 chars, out=409 est tokens, 12878.4ms
2026-03-25 02:57:27 | INFO     | pipeline | [15/25] haiku E(low_sophistication_domain_relevant) task3 run1
2026-03-25 02:57:46 | INFO     | pipeline |   -> sys=407 chars, prompt=101 chars, out=410 est tokens, 19053.0ms
2026-03-25 02:57:46 | INFO     | pipeline | [16/25] haiku C(low_sophistication_nontechnical) task4 run1
2026-03-25 02:58:01 | INFO     | pipeline |   -> sys=321 chars, prompt=101 chars, out=419 est tokens, 14771.3ms
2026-03-25 02:58:01 | INFO     | pipeline | [17/25] haiku A(high_sophistication_nontechnical) task3 run1
2026-03-25 02:58:20 | INFO     | pipeline |   -> sys=499 chars, prompt=101 chars, out=542 est tokens, 18588.5ms
2026-03-25 02:58:20 | INFO     | pipeline | [18/25] haiku E(low_sophistication_domain_relevant) task4 run1
2026-03-25 02:58:33 | INFO     | pipeline |   -> sys=407 chars, prompt=101 chars, out=434 est tokens, 13023.2ms
2026-03-25 02:58:33 | INFO     | pipeline | [19/25] haiku A(high_sophistication_nontechnical) task5 run1
2026-03-25 02:58:55 | INFO     | pipeline |   -> sys=499 chars, prompt=93 chars, out=1056 est tokens, 22265.3ms
2026-03-25 02:58:55 | INFO     | pipeline | [20/25] haiku E(low_sophistication_domain_relevant) task5 run1
2026-03-25 02:59:12 | INFO     | pipeline |   -> sys=407 chars, prompt=93 chars, out=542 est tokens, 16942.0ms
2026-03-25 02:59:12 | INFO     | pipeline | [21/25] haiku B(control) task3 run1
2026-03-25 02:59:27 | INFO     | pipeline |   -> sys=0 chars, prompt=101 chars, out=461 est tokens, 15341.0ms
2026-03-25 02:59:27 | INFO     | pipeline | [22/25] haiku B(control) task4 run1
2026-03-25 02:59:43 | INFO     | pipeline |   -> sys=0 chars, prompt=101 chars, out=511 est tokens, 15443.6ms
2026-03-25 02:59:43 | INFO     | pipeline | [23/25] haiku A(high_sophistication_nontechnical) task1 run1
2026-03-25 02:59:59 | INFO     | pipeline |   -> sys=499 chars, prompt=71 chars, out=530 est tokens, 15892.5ms
2026-03-25 02:59:59 | INFO     | pipeline | [24/25] haiku A(high_sophistication_nontechnical) task4 run1
2026-03-25 03:00:22 | INFO     | pipeline |   -> sys=499 chars, prompt=101 chars, out=967 est tokens, 23940.3ms
2026-03-25 03:00:22 | INFO     | pipeline | [25/25] haiku E(low_sophistication_domain_relevant) task1 run1
2026-03-25 03:00:36 | INFO     | pipeline |   -> sys=407 chars, prompt=71 chars, out=408 est tokens, 13540.2ms
2026-03-25 03:00:36 | INFO     | pipeline | Model haiku done: 25 calls, 0 skipped
2026-03-25 03:00:36 | INFO     | pipeline | Experiment complete. {'call_count': 50, 'total_input_tokens': 5364, 'total_output_tokens': 30689, 'estimated_cost_usd': 0.4764}
2026-03-25 03:00:36 | INFO     | pipeline | Step 1 completed in 1352.3s
2026-03-25 03:00:36 | INFO     | pipeline |   Usage: {'call_count': 50, 'total_input_tokens': 5364, 'total_output_tokens': 30689, 'estimated_cost_usd': 0.4764}
2026-03-25 03:00:36 | INFO     | pipeline | ============================================================
2026-03-25 03:00:36 | INFO     | pipeline | STEPS 2-6: Analysis pipeline
2026-03-25 03:00:36 | INFO     | pipeline | ============================================================
2026-03-25 03:00:36 | INFO     | pipeline | ----------------------------------------
