2026-03-25 03:02:09 | INFO     | analyze_stats | Loading metrics from runs/dry_run_20260325_023804/results/metrics/metrics_table.csv
2026-03-25 03:02:09 | INFO     | analyze_stats | Found 19 metrics: ['response_length', 'estimated_tokens', 'paragraph_count', 'question_count', 'hedge_density', 'unique_entity_count', 'named_reference_count', 'cross_domain_count', 'analytical_depth', 'challenge_level', 'register_level', 'specificity_score', 'analytical_sophistication', 'specificity_index', 'intellectual_engagement', 'norm_unique_entity_count', 'norm_named_reference_count', 'norm_cross_domain_count', 'norm_question_count']
2026-03-25 03:02:09 | INFO     | analyze_stats | Running one-way ANOVA...
2026-03-25 03:02:09 | INFO     | analyze_stats | Running two-way ANOVA (profile x model)...
2026-03-25 03:02:09 | INFO     | analyze_stats | Saved anova_results.json
2026-03-25 03:02:09 | INFO     | analyze_stats | Computing effect sizes (Cohen's d)...
2026-03-25 03:02:09 | INFO     | analyze_stats | Saved effect_sizes.json
2026-03-25 03:02:09 | INFO     | analyze_stats | Running Mann-Whitney U tests...
2026-03-25 03:02:09 | INFO     | analyze_stats | Running Kruskal-Wallis H-tests...
2026-03-25 03:02:09 | INFO     | analyze_stats | Running planned contrasts (5-profile design)...
2026-03-25 03:02:09 | INFO     | analyze_stats | Saved planned_contrasts.json
2026-03-25 03:02:09 | INFO     | analyze_stats | Saved interaction_effects.json
2026-03-25 03:02:09 | INFO     | analyze_stats | Running PELT change-point analysis...
2026-03-25 03:02:09 | INFO     | analyze_stats | Saved pelt_results.json
2026-03-25 03:02:09 | INFO     | analyze_stats | Building summary report...
2026-03-25 03:02:09 | INFO     | analyze_stats | Saved summary_report.txt (260 lines)
2026-03-25 03:02:09 | INFO     | analyze_stats | Analysis complete: 5/19 metrics significant (one-way ANOVA)
2026-03-25 05:04:14 | INFO     | analyze_stats | Loading metrics from runs/dry_run_20260325_023804/results/metrics/metrics_table.csv
2026-03-25 05:04:14 | INFO     | analyze_stats | Found 19 metrics: ['response_length', 'estimated_tokens', 'paragraph_count', 'question_count', 'hedge_density', 'unique_entity_count', 'named_reference_count', 'cross_domain_count', 'analytical_depth', 'challenge_level', 'register_level', 'specificity_score', 'analytical_sophistication', 'specificity_index', 'intellectual_engagement', 'norm_unique_entity_count', 'norm_named_reference_count', 'norm_cross_domain_count', 'norm_question_count']
2026-03-25 05:04:14 | INFO     | analyze_stats | Running one-way ANOVA...
2026-03-25 05:04:14 | INFO     | analyze_stats | Running two-way ANOVA (profile x model)...
2026-03-25 05:04:14 | INFO     | analyze_stats | Saved anova_results.json
2026-03-25 05:04:14 | INFO     | analyze_stats | Computing effect sizes (Cohen's d)...
2026-03-25 05:04:14 | INFO     | analyze_stats | Saved effect_sizes.json
2026-03-25 05:04:14 | INFO     | analyze_stats | Running Mann-Whitney U tests...
2026-03-25 05:04:14 | INFO     | analyze_stats | Running Kruskal-Wallis H-tests...
2026-03-25 05:04:14 | INFO     | analyze_stats | Running planned contrasts (5-profile design)...
2026-03-25 05:04:15 | INFO     | analyze_stats | Saved planned_contrasts.json
2026-03-25 05:04:15 | INFO     | analyze_stats | Saved interaction_effects.json
2026-03-25 05:04:15 | INFO     | analyze_stats | Running PELT change-point analysis...
2026-03-25 05:04:15 | INFO     | analyze_stats | Saved pelt_results.json
2026-03-25 05:04:15 | INFO     | analyze_stats | Building summary report...
2026-03-25 05:04:15 | INFO     | analyze_stats | Saved summary_report.txt (260 lines)
2026-03-25 05:04:15 | INFO     | analyze_stats | Analysis complete: 5/19 metrics significant (one-way ANOVA)
