2026-03-24 00:41:57 | INFO     | pipeline | Experiment 3 — Memory-Level Profile Bias
2026-03-24 00:41:57 | INFO     | pipeline | Run output directory: experiment_3/runs/dry_run_20260324_004157
2026-03-24 00:41:57 | INFO     | pipeline | ============================================================
2026-03-24 00:41:57 | INFO     | pipeline | STEP 1/6: Running experiment (50 API calls)
2026-03-24 00:41:57 | INFO     | pipeline | ============================================================
2026-03-24 00:41:57 | INFO     | pipeline | Profile A (high_sophistication_nontechnical): 499 chars
2026-03-24 00:41:57 | INFO     | pipeline | Profile B (control): no system prompt (control)
2026-03-24 00:41:57 | INFO     | pipeline | Profile C (low_sophistication_nontechnical): 321 chars
2026-03-24 00:41:57 | INFO     | pipeline | Profile D (high_sophistication_technical): 418 chars
2026-03-24 00:41:57 | INFO     | pipeline | Profile E (low_sophistication_technical): 321 chars
2026-03-24 00:41:57 | INFO     | pipeline | Model sonnet: 25 calls (randomized, seed=42)
2026-03-24 00:41:57 | INFO     | pipeline | [1/25] sonnet D(high_sophistication_technical) task2 run1
2026-03-24 00:42:33 | INFO     | pipeline |   -> sys=418 chars, prompt=173 chars, out=1385 est tokens, 35266.7ms
2026-03-24 00:42:33 | INFO     | pipeline | [2/25] sonnet C(low_sophistication_nontechnical) task3 run1
2026-03-24 00:45:52 | INFO     | pipeline |   -> sys=321 chars, prompt=163 chars, out=2601 est tokens, 198827.7ms
2026-03-24 00:45:52 | INFO     | pipeline | [3/25] sonnet B(control) task5 run1
2026-03-24 00:46:56 | INFO     | pipeline |   -> sys=0 chars, prompt=1366 chars, out=1501 est tokens, 64243.2ms
2026-03-24 00:46:56 | INFO     | pipeline | [4/25] sonnet D(high_sophistication_technical) task5 run1
2026-03-24 00:47:58 | INFO     | pipeline |   -> sys=418 chars, prompt=1366 chars, out=1539 est tokens, 62155.5ms
2026-03-24 00:47:58 | INFO     | pipeline | [5/25] sonnet D(high_sophistication_technical) task4 run1
2026-03-24 00:51:11 | INFO     | pipeline |   -> sys=418 chars, prompt=178 chars, out=2554 est tokens, 193163.3ms
2026-03-24 00:51:11 | INFO     | pipeline | [6/25] sonnet B(control) task2 run1
2026-03-24 00:51:47 | INFO     | pipeline |   -> sys=0 chars, prompt=173 chars, out=1296 est tokens, 36064.4ms
2026-03-24 00:51:47 | INFO     | pipeline | [7/25] sonnet B(control) task1 run1
2026-03-24 00:53:38 | INFO     | pipeline |   -> sys=0 chars, prompt=175 chars, out=1685 est tokens, 110693.8ms
2026-03-24 00:53:38 | INFO     | pipeline | [8/25] sonnet C(low_sophistication_nontechnical) task1 run1
2026-03-24 00:54:11 | INFO     | pipeline |   -> sys=321 chars, prompt=175 chars, out=1491 est tokens, 32951.4ms
2026-03-24 00:54:11 | INFO     | pipeline | [9/25] sonnet D(high_sophistication_technical) task1 run1
2026-03-24 00:55:59 | INFO     | pipeline |   -> sys=418 chars, prompt=175 chars, out=2140 est tokens, 108409.2ms
2026-03-24 00:55:59 | INFO     | pipeline | [10/25] sonnet E(low_sophistication_technical) task2 run1
2026-03-24 00:58:12 | INFO     | pipeline |   -> sys=321 chars, prompt=173 chars, out=2029 est tokens, 132498.3ms
2026-03-24 00:58:12 | INFO     | pipeline | [11/25] sonnet C(low_sophistication_nontechnical) task2 run1
2026-03-24 00:58:38 | INFO     | pipeline |   -> sys=321 chars, prompt=173 chars, out=1072 est tokens, 26574.6ms
2026-03-24 00:58:38 | INFO     | pipeline | [12/25] sonnet D(high_sophistication_technical) task3 run1
2026-03-24 01:02:21 | INFO     | pipeline |   -> sys=418 chars, prompt=163 chars, out=1824 est tokens, 222451.7ms
2026-03-24 01:02:21 | INFO     | pipeline | [13/25] sonnet A(high_sophistication_nontechnical) task2 run1
2026-03-24 01:04:06 | INFO     | pipeline |   -> sys=499 chars, prompt=173 chars, out=1306 est tokens, 105030.6ms
2026-03-24 01:04:06 | INFO     | pipeline | [14/25] sonnet C(low_sophistication_nontechnical) task5 run1
2026-03-24 01:05:13 | INFO     | pipeline |   -> sys=321 chars, prompt=1366 chars, out=1373 est tokens, 67131.5ms
2026-03-24 01:05:13 | INFO     | pipeline | [15/25] sonnet E(low_sophistication_technical) task3 run1
2026-03-24 01:06:46 | INFO     | pipeline |   -> sys=321 chars, prompt=163 chars, out=75 est tokens, 93240.8ms
2026-03-24 01:06:46 | INFO     | pipeline | [16/25] sonnet C(low_sophistication_nontechnical) task4 run1
2026-03-24 01:08:41 | INFO     | pipeline |   -> sys=321 chars, prompt=178 chars, out=1950 est tokens, 114906.8ms
2026-03-24 01:08:41 | INFO     | pipeline | [17/25] sonnet A(high_sophistication_nontechnical) task3 run1
2026-03-24 01:12:37 | INFO     | pipeline |   -> sys=499 chars, prompt=163 chars, out=3256 est tokens, 236265.1ms
2026-03-24 01:12:37 | INFO     | pipeline | [18/25] sonnet E(low_sophistication_technical) task4 run1
2026-03-24 01:14:46 | INFO     | pipeline |   -> sys=321 chars, prompt=178 chars, out=2403 est tokens, 128450.8ms
2026-03-24 01:14:46 | INFO     | pipeline | [19/25] sonnet A(high_sophistication_nontechnical) task5 run1
2026-03-24 01:16:13 | INFO     | pipeline |   -> sys=499 chars, prompt=1366 chars, out=700 est tokens, 86877.0ms
2026-03-24 01:16:13 | INFO     | pipeline | [20/25] sonnet E(low_sophistication_technical) task5 run1
2026-03-24 01:18:04 | INFO     | pipeline |   -> sys=321 chars, prompt=1366 chars, out=1419 est tokens, 111534.0ms
2026-03-24 01:18:04 | INFO     | pipeline | [21/25] sonnet B(control) task3 run1
2026-03-24 01:20:49 | INFO     | pipeline |   -> sys=0 chars, prompt=163 chars, out=2555 est tokens, 164853.6ms
2026-03-24 01:20:49 | INFO     | pipeline | [22/25] sonnet B(control) task4 run1
2026-03-24 01:23:59 | INFO     | pipeline |   -> sys=0 chars, prompt=178 chars, out=4407 est tokens, 189610.7ms
2026-03-24 01:23:59 | INFO     | pipeline | [23/25] sonnet A(high_sophistication_nontechnical) task1 run1
2026-03-24 01:26:01 | INFO     | pipeline |   -> sys=499 chars, prompt=175 chars, out=1945 est tokens, 122126.0ms
2026-03-24 01:26:01 | INFO     | pipeline | [24/25] sonnet A(high_sophistication_nontechnical) task4 run1
2026-03-24 01:29:13 | INFO     | pipeline |   -> sys=499 chars, prompt=178 chars, out=2473 est tokens, 192407.8ms
2026-03-24 01:29:13 | INFO     | pipeline | [25/25] sonnet E(low_sophistication_technical) task1 run1
2026-03-24 01:30:23 | INFO     | pipeline |   -> sys=321 chars, prompt=175 chars, out=446 est tokens, 70072.1ms
2026-03-24 01:30:23 | INFO     | pipeline | Model sonnet done: 25 calls, 0 skipped
2026-03-24 01:30:23 | INFO     | pipeline | Model haiku: 25 calls (randomized, seed=42)
2026-03-24 01:30:23 | INFO     | pipeline | [1/25] haiku D(high_sophistication_technical) task2 run1
